id,cluster,E15 cpn,E16 cpn,E18 cpn,P1 cpn,E15 subcereb,E16 subcereb,E18 subcereb,P1 subcereb,E15 corticothal,E16 corticothal,E18 corticothal,P1 corticothal,gene type
1500009L16Rik,17,0.585333243,0.686881943,0.937079866,1.051090752,0.655911214,0.713989233,0.925323954,1.016600082,0.775592246,0.737315119,0.806935261,1.012773552,Protein
1500011K16Rik,18,0.444556899,0.560721807,0.723962737,0.836123382,0.42126656,0.581218965,0.792802674,0.899819408,0.44463023,0.482532014,0.678133079,0.779846031,Protein
1500012F01Rik,19,1.853525433,1.808600515,1.749074324,1.5097145,1.984195052,1.749195816,1.589703915,1.401229892,2.104900041,1.953001067,1.78186232,1.39991589,Protein
1500031L02Rik,18,0.970031968,1.070831807,1.122094587,1.119585775,1.106517261,1.156203759,1.21263499,1.269655351,1.150612163,1.153723424,1.187929442,1.202123073,Protein
1500032L24Rik,18,1.803773162,1.773793756,1.808968807,1.964365715,1.822751761,1.868201103,1.938364592,2.058839622,1.783387548,1.772251275,1.817392807,1.96286397,Protein
1520402A15Rik,17,0.196804642,0.297513648,0.333275941,0.455704977,0.211145914,0.211280768,0.252512741,0.514696476,0.238705579,0.302586321,0.434880143,0.643931124,Protein
1600014C10Rik,19,0.531328165,0.498153352,0.488037156,0.425193368,0.497869141,0.519544495,0.64456364,0.553997044,0.453625602,0.450881609,0.491944098,0.359822207,Protein
1600021P15Rik,11,1.025244404,1.194966439,1.359698914,1.531527453,1.483083537,1.624445055,1.773447797,1.797927831,1.553079202,1.510961679,1.550092538,1.587593117,Protein
1700001L19Rik,16,0.026555653,0.140176067,0.36425824,0.396363267,0.080782286,0.203752849,0.520217503,0.640123518,0.155180514,0.202140797,0.459360819,0.636154776,Protein
1700001O22Rik,10,0.71108984,0.45138879,0.359621127,0.279329231,0.689365696,0.288441731,0.33542781,0.345120727,0.349568903,0.288272035,0.355280987,0.319358023,Protein
1700003E16Rik,16,0.059192576,0.184353799,0.366037992,0.496448061,0.244331559,0.467467511,0.717586465,0.767083849,0.427606189,0.434958317,0.612605865,0.665666341,Protein
1700003M02Rik,16,0.011182323,0.053877502,0.224553521,0.345614829,0.011052745,0.063674054,0.302261644,0.40538393,0.009425313,0.075715902,0.191135659,0.309881304,Protein
1700007K13Rik,9,0.021570318,0,0.0086542,0.041299934,0,0.022699463,0.030579484,0.122044093,0.016864683,0.007817439,0.055016906,0.201022213,Protein
1700012A16Rik,16,0.060496885,0.130634454,0.208587261,0.215069675,0.09488915,0.186552915,0.263856592,0.363726649,0.075770255,0.128170105,0.147002259,0.19271238,Protein
